J301_1.RCP 43 [1, 4, 3, 7, 13, 2, 8, 10, 18, 9, 11, 12, 19, 5, 15, 16, 27, 14, 20, 17, 29, 21, 26, 22, 25, 6, 28, 23, 31, 24, 30, 32]
J301_2.RCP 48 [1, 4, 3, 7, 5, 6, 9, 17, 16, 11, 2, 10, 15, 13, 14, 22, 19, 12, 26, 20, 8, 18, 21, 25, 23, 28, 27, 24, 31, 30, 29, 32]
J301_3.RCP 47 [1, 4, 3, 5, 7, 12, 9, 6, 20, 15, 8, 11, 18, 2, 10, 14, 17, 24, 19, 27, 23, 28, 16, 13, 21, 22, 25, 31, 26, 29, 30, 32]
J301_4.RCP 62 [1, 2, 4, 14, 6, 7, 5, 19, 27, 8, 15, 13, 22, 10, 24, 9, 18, 3, 11, 12, 23, 21, 16, 20, 26, 31, 25, 28, 17, 30, 29, 32]
J301_5.RCP 39 [1, 4, 3, 5, 8, 2, 6, 10, 27, 7, 14, 16, 9, 11, 18, 12, 19, 25, 13, 23, 22, 15, 21, 17, 26, 24, 20, 29, 28, 30, 31, 32]
J301_6.RCP 49 [1, 2, 4, 7, 3, 5, 6, 12, 11, 8, 10, 15, 23, 27, 9, 25, 16, 22, 19, 13, 21, 28, 14, 17, 24, 18, 30, 31, 20, 26, 29, 32]
J301_7.RCP 60 [1, 4, 2, 7, 5, 3, 24, 6, 10, 13, 12, 18, 16, 11, 9, 8, 21, 22, 17, 15, 26, 20, 14, 19, 23, 25, 28, 27, 30, 29, 31, 32]
J301_8.RCP 53 [1, 3, 4, 5, 10, 2, 8, 14, 17, 6, 19, 11, 12, 20, 16, 9, 15, 23, 25, 18, 26, 21, 13, 7, 22, 24, 28, 31, 27, 30, 29, 32]
J301_9.RCP 49 [1, 4, 2, 3, 20, 10, 7, 5, 8, 17, 15, 6, 9, 24, 11, 21, 13, 18, 19, 12, 22, 14, 25, 16, 26, 27, 23, 28, 31, 30, 29, 32]
J301_10.RCP 46 [1, 2, 7, 3, 5, 11, 8, 22, 20, 4, 12, 9, 25, 13, 10, 18, 21, 6, 23, 17, 16, 14, 19, 15, 24, 26, 30, 27, 28, 29, 31, 32]
J302_1.RCP 38 [1, 2, 4, 3, 7, 6, 10, 8, 17, 20, 9, 14, 15, 5, 13, 11, 18, 19, 12, 24, 21, 27, 22, 28, 29, 23, 26, 16, 25, 30, 31, 32]
J302_2.RCP 51 [1, 3, 4, 2, 7, 8, 9, 5, 10, 16, 17, 12, 14, 18, 13, 15, 6, 19, 26, 11, 25, 20, 21, 29, 28, 22, 27, 23, 24, 30, 31, 32]
J302_3.RCP 43 [1, 2, 4, 3, 10, 6, 5, 7, 18, 15, 14, 19, 16, 12, 24, 9, 13, 8, 23, 21, 27, 26, 11, 20, 28, 31, 22, 17, 30, 25, 29, 32]
J302_4.RCP 43 [1, 4, 2, 3, 11, 21, 6, 5, 9, 12, 13, 7, 18, 14, 16, 15, 8, 27, 25, 23, 10, 17, 19, 28, 26, 24, 20, 30, 29, 22, 31, 32]
J302_5.RCP 51 [1, 2, 3, 29, 5, 6, 19, 8, 4, 9, 7, 11, 15, 12, 13, 17, 14, 20, 10, 22, 16, 24, 23, 18, 21, 25, 27, 26, 30, 28, 31, 32]
J302_6.RCP 47 [1, 4, 3, 2, 13, 5, 7, 6, 9, 11, 8, 16, 10, 15, 14, 12, 18, 19, 24, 21, 20, 25, 29, 28, 22, 23, 17, 26, 27, 30, 31, 32]
J302_7.RCP 47 [1, 2, 4, 10, 5, 8, 3, 11, 13, 14, 6, 24, 16, 7, 9, 15, 17, 21, 12, 28, 22, 19, 23, 25, 20, 18, 30, 29, 26, 27, 31, 32]
J302_8.RCP 54 [1, 3, 2, 5, 6, 10, 4, 20, 11, 7, 8, 13, 9, 22, 21, 15, 23, 14, 16, 27, 24, 12, 19, 17, 18, 26, 25, 31, 29, 28, 30, 32]
J302_9.RCP 54 [1, 3, 2, 18, 7, 5, 10, 6, 17, 8, 4, 9, 19, 15, 13, 11, 12, 21, 16, 20, 23, 28, 14, 27, 22, 24, 26, 25, 31, 30, 29, 32]
J302_10.RCP 43 [1, 4, 2, 3, 7, 13, 10, 11, 5, 19, 17, 6, 9, 14, 21, 15, 8, 16, 12, 24, 25, 26, 22, 20, 27, 23, 18, 28, 29, 31, 30, 32]
J303_1.RCP 72 [1, 3, 4, 19, 5, 2, 10, 7, 11, 17, 9, 8, 14, 16, 13, 6, 18, 12, 24, 20, 21, 15, 23, 22, 26, 29, 25, 28, 30, 27, 31, 32]
J303_2.RCP 40 [1, 2, 4, 10, 5, 6, 19, 3, 9, 8, 7, 14, 12, 20, 13, 21, 22, 18, 17, 11, 15, 23, 16, 25, 26, 30, 24, 27, 28, 29, 31, 32]
J303_3.RCP 57 [1, 3, 5, 4, 9, 6, 10, 7, 8, 2, 13, 11, 15, 21, 17, 19, 20, 23, 12, 14, 22, 18, 16, 24, 28, 25, 27, 30, 26, 31, 29, 32]
J303_4.RCP 98 [1, 2, 3, 4, 5, 18, 6, 7, 21, 9, 24, 10, 8, 14, 13, 11, 23, 12, 17, 16, 20, 22, 26, 25, 27, 19, 30, 15, 28, 29, 31, 32]
J303_5.RCP 53 [1, 4, 2, 12, 3, 5, 15, 7, 8, 11, 9, 6, 17, 16, 25, 10, 24, 14, 23, 27, 13, 18, 19, 21, 20, 22, 26, 30, 31, 28, 29, 32]
J303_6.RCP 54 [1, 4, 2, 10, 9, 7, 6, 8, 13, 3, 5, 11, 12, 25, 21, 18, 15, 16, 17, 14, 19, 24, 23, 26, 20, 22, 27, 28, 29, 31, 30, 32]
J303_7.RCP 48 [1, 2, 3, 9, 4, 6, 19, 16, 11, 5, 12, 8, 23, 7, 21, 14, 13, 17, 25, 24, 18, 15, 20, 27, 30, 22, 26, 28, 10, 29, 31, 32]
J303_8.RCP 54 [1, 2, 3, 4, 13, 15, 5, 19, 8, 12, 11, 17, 24, 6, 9, 7, 22, 23, 25, 14, 18, 10, 27, 20, 16, 21, 26, 30, 28, 31, 29, 32]
J303_9.RCP 65 [1, 3, 4, 2, 14, 7, 13, 9, 25, 5, 6, 12, 11, 17, 10, 8, 19, 15, 22, 18, 16, 21, 27, 20, 23, 26, 30, 28, 29, 24, 31, 32]
J303_10.RCP 59 [1, 3, 4, 2, 5, 6, 9, 24, 7, 8, 19, 11, 10, 13, 14, 15, 20, 18, 12, 21, 17, 22, 31, 23, 16, 25, 28, 26, 30, 27, 29, 32]
J304_1.RCP 49 [1, 3, 2, 4, 9, 5, 14, 7, 22, 6, 12, 10, 16, 8, 11, 19, 21, 23, 24, 18, 30, 13, 15, 27, 17, 20, 25, 28, 26, 31, 29, 32]
J304_2.RCP 60 [1, 4, 3, 11, 2, 5, 8, 6, 7, 10, 13, 15, 12, 23, 14, 9, 17, 24, 18, 25, 31, 20, 16, 21, 27, 28, 19, 22, 26, 30, 29, 32]
J304_3.RCP 47 [1, 3, 4, 2, 7, 8, 11, 19, 10, 21, 5, 25, 9, 6, 13, 20, 23, 14, 15, 12, 16, 17, 22, 24, 26, 28, 18, 27, 29, 30, 31, 32]
J304_4.RCP 57 [1, 2, 4, 3, 7, 6, 5, 11, 9, 8, 16, 19, 10, 20, 13, 12, 14, 15, 22, 21, 24, 17, 18, 23, 25, 27, 28, 26, 29, 31, 30, 32]
J304_5.RCP 59 [1, 4, 3, 2, 9, 7, 10, 22, 15, 5, 12, 17, 6, 14, 8, 13, 11, 20, 24, 23, 26, 18, 19, 16, 25, 27, 30, 21, 28, 31, 29, 32]
J304_6.RCP 45 [1, 3, 2, 4, 6, 7, 5, 15, 9, 20, 13, 12, 17, 8, 11, 23, 14, 26, 25, 16, 10, 28, 18, 19, 22, 24, 21, 27, 30, 31, 29, 32]
J304_7.RCP 56 [1, 4, 3, 6, 2, 9, 5, 8, 20, 26, 7, 10, 13, 19, 15, 11, 14, 12, 16, 17, 23, 28, 22, 18, 27, 21, 24, 29, 25, 30, 31, 32]
J304_8.RCP 55 [1, 3, 4, 2, 6, 15, 10, 7, 8, 13, 5, 20, 9, 11, 12, 16, 17, 14, 26, 19, 25, 18, 23, 22, 27, 28, 21, 31, 24, 30, 29, 32]
J304_9.RCP 38 [1, 3, 2, 4, 6, 8, 18, 12, 16, 5, 9, 10, 23, 7, 13, 24, 14, 11, 19, 21, 20, 17, 26, 15, 25, 27, 28, 29, 22, 30, 31, 32]
J304_10.RCP 48 [1, 2, 3, 17, 4, 7, 10, 5, 18, 19, 13, 8, 26, 11, 16, 9, 14, 25, 12, 21, 15, 22, 6, 20, 23, 24, 27, 31, 29, 28, 30, 32]
J305_1.RCP 53 [1, 4, 6, 3, 8, 2, 16, 11, 5, 7, 10, 19, 21, 22, 13, 12, 9, 14, 23, 15, 20, 24, 17, 26, 18, 30, 28, 27, 25, 29, 31, 32]
J305_2.RCP 83 [1, 2, 5, 4, 7, 21, 9, 3, 8, 11, 14, 13, 12, 16, 20, 10, 30, 6, 17, 19, 15, 22, 25, 27, 23, 24, 18, 28, 26, 31, 29, 32]
J305_3.RCP 83 [1, 3, 4, 18, 5, 2, 7, 12, 16, 6, 10, 15, 14, 13, 19, 11, 26, 17, 9, 8, 20, 21, 25, 22, 29, 23, 28, 27, 24, 30, 31, 32]
J305_4.RCP 63 [1, 3, 2, 4, 9, 17, 6, 14, 7, 11, 13, 12, 16, 25, 8, 19, 5, 10, 21, 20, 22, 15, 23, 24, 18, 28, 27, 26, 29, 30, 31, 32]
J305_5.RCP 77 [1, 3, 4, 2, 6, 22, 10, 5, 8, 7, 17, 16, 21, 19, 15, 11, 9, 23, 20, 12, 13, 18, 24, 26, 31, 25, 29, 14, 27, 28, 30, 32]
J305_6.RCP 64 [1, 3, 4, 5, 10, 2, 6, 16, 13, 8, 18, 12, 7, 9, 19, 15, 11, 21, 20, 14, 25, 26, 24, 22, 23, 17, 28, 30, 27, 29, 31, 32]
J305_7.RCP 76 [1, 3, 4, 15, 2, 12, 7, 5, 11, 16, 10, 18, 9, 20, 14, 22, 24, 17, 6, 25, 28, 23, 13, 27, 8, 26, 30, 21, 19, 31, 29, 32]
J305_8.RCP 67 [1, 3, 4, 7, 8, 5, 9, 10, 6, 2, 12, 14, 13, 15, 19, 18, 16, 21, 25, 20, 17, 27, 11, 28, 24, 23, 22, 26, 31, 30, 29, 32]
J305_9.RCP 49 [1, 2, 3, 9, 4, 14, 5, 12, 15, 23, 7, 22, 6, 16, 20, 25, 21, 10, 24, 19, 8, 30, 18, 11, 26, 29, 17, 13, 28, 27, 31, 32]
J305_10.RCP 70 [1, 3, 2, 4, 5, 14, 6, 21, 16, 10, 8, 12, 7, 20, 9, 18, 17, 23, 11, 28, 27, 19, 15, 24, 26, 25, 13, 30, 22, 31, 29, 32]
J306_1.RCP 59 [1, 3, 2, 4, 7, 6, 5, 14, 15, 10, 17, 16, 26, 25, 8, 11, 9, 13, 20, 21, 18, 12, 24, 19, 22, 27, 23, 29, 28, 31, 30, 32]
J306_2.RCP 51 [1, 2, 4, 5, 6, 19, 10, 16, 9, 11, 14, 3, 24, 13, 7, 15, 20, 22, 8, 17, 18, 25, 12, 21, 23, 27, 28, 30, 26, 29, 31, 32]
J306_3.RCP 49 [1, 4, 2, 3, 6, 13, 5, 7, 19, 12, 10, 8, 18, 14, 11, 9, 17, 23, 26, 15, 27, 24, 21, 22, 16, 20, 28, 31, 25, 29, 30, 32]
J306_4.RCP 42 [1, 3, 7, 6, 5, 11, 2, 4, 21, 8, 10, 20, 13, 15, 9, 17, 16, 18, 22, 19, 12, 14, 25, 23, 26, 27, 24, 30, 28, 29, 31, 32]
