J301_1.RCP 43 [1, 4, 3, 13, 2, 10, 8, 18, 7, 11, 16, 12, 9, 27, 5, 14, 20, 17, 26, 19, 29, 15, 21, 22, 6, 28, 23, 25, 31, 24, 30, 32]
J301_2.RCP 48 [1, 4, 3, 7, 5, 6, 16, 11, 15, 17, 13, 9, 2, 10, 19, 22, 8, 18, 14, 26, 20, 21, 12, 25, 27, 23, 24, 28, 31, 30, 29, 32]
J301_3.RCP 47 [1, 4, 3, 6, 7, 5, 12, 20, 9, 8, 10, 15, 2, 11, 18, 17, 13, 14, 24, 21, 19, 27, 16, 23, 28, 22, 25, 31, 26, 30, 29, 32]
J301_4.RCP 62 [1, 2, 4, 6, 14, 15, 7, 5, 19, 8, 3, 10, 24, 9, 13, 22, 27, 12, 11, 18, 16, 21, 26, 23, 20, 31, 25, 28, 17, 29, 30, 32]
J301_5.RCP 39 [1, 4, 3, 16, 8, 5, 18, 27, 2, 6, 10, 19, 11, 14, 7, 9, 12, 13, 25, 15, 22, 23, 20, 21, 17, 26, 24, 29, 28, 31, 30, 32]
J301_6.RCP 49 [1, 4, 2, 3, 6, 5, 7, 12, 23, 10, 8, 11, 21, 15, 13, 9, 27, 16, 19, 22, 14, 28, 24, 17, 18, 25, 30, 31, 20, 26, 29, 32]
J301_7.RCP 60 [1, 2, 5, 7, 4, 3, 6, 10, 18, 12, 11, 9, 16, 24, 17, 13, 21, 20, 22, 26, 14, 15, 25, 19, 8, 23, 27, 28, 29, 31, 30, 32]
J301_8.RCP 53 [1, 3, 4, 2, 8, 5, 10, 14, 17, 11, 6, 20, 19, 9, 12, 16, 23, 25, 18, 24, 13, 21, 26, 22, 15, 28, 7, 27, 30, 31, 29, 32]
J301_9.RCP 49 [1, 2, 4, 10, 3, 7, 20, 5, 8, 15, 12, 6, 9, 13, 21, 24, 11, 18, 19, 17, 22, 14, 25, 16, 26, 27, 23, 28, 30, 29, 31, 32]
J301_10.RCP 45 [1, 3, 2, 4, 5, 20, 7, 8, 22, 11, 9, 10, 12, 18, 13, 14, 23, 19, 15, 16, 6, 17, 21, 26, 24, 25, 27, 30, 28, 29, 31, 32]
J302_1.RCP 38 [1, 3, 2, 4, 7, 10, 6, 9, 8, 14, 15, 17, 5, 13, 11, 20, 19, 24, 21, 12, 27, 18, 22, 29, 28, 23, 26, 16, 25, 30, 31, 32]
J302_2.RCP 53 [1, 4, 2, 8, 3, 7, 9, 5, 6, 14, 18, 16, 17, 10, 13, 12, 15, 11, 21, 25, 19, 23, 22, 20, 26, 28, 29, 27, 30, 24, 31, 32]
