J301_1.RCP 43 [1, 4, 3, 2, 7, 13, 8, 10, 18, 11, 12, 9, 19, 5, 15, 16, 27, 14, 29, 17, 20, 26, 21, 22, 6, 28, 23, 24, 31, 25, 30, 32]
J301_10.RCP 45 [1, 4, 2, 5, 3, 22, 7, 8, 11, 20, 9, 12, 14, 13, 16, 18, 23, 15, 10, 21, 17, 19, 6, 26, 24, 25, 27, 30, 28, 29, 31, 32]
J301_2.RCP 47 [1, 4, 3, 2, 10, 7, 9, 5, 6, 22, 16, 17, 11, 19, 15, 14, 8, 26, 13, 20, 18, 12, 23, 28, 24, 21, 27, 25, 29, 31, 30, 32]
J301_3.RCP 47 [1, 3, 4, 7, 2, 6, 5, 9, 20, 12, 13, 8, 10, 18, 11, 14, 15, 17, 23, 24, 21, 27, 16, 28, 19, 22, 25, 31, 26, 30, 29, 32]
J301_4.RCP 62 [1, 2, 4, 6, 5, 19, 7, 3, 14, 8, 24, 9, 13, 10, 22, 15, 11, 23, 21, 12, 16, 18, 20, 25, 17, 27, 31, 28, 26, 29, 30, 32]
J301_5.RCP 39 [1, 4, 3, 5, 8, 2, 6, 14, 27, 10, 16, 7, 9, 18, 15, 11, 12, 19, 17, 13, 25, 20, 23, 21, 22, 26, 24, 29, 28, 30, 31, 32]
J301_6.RCP 49 [1, 4, 2, 7, 5, 3, 8, 6, 10, 12, 11, 23, 15, 16, 9, 27, 25, 21, 22, 13, 14, 24, 17, 19, 28, 18, 30, 31, 20, 26, 29, 32]
J301_7.RCP 60 [1, 2, 3, 4, 5, 6, 18, 11, 24, 10, 13, 8, 12, 7, 9, 16, 21, 22, 17, 14, 23, 26, 15, 20, 25, 28, 27, 19, 30, 29, 31, 32]
J301_8.RCP 55 [1, 2, 4, 3, 5, 10, 8, 11, 17, 14, 6, 7, 9, 12, 20, 15, 16, 18, 13, 23, 25, 19, 24, 21, 30, 26, 22, 27, 28, 29, 31, 32]
J301_9.RCP 49 [1, 4, 3, 2, 7, 10, 20, 5, 8, 15, 6, 17, 9, 13, 12, 21, 24, 18, 19, 22, 11, 14, 25, 16, 27, 26, 31, 23, 28, 30, 29, 32]
