J601_1.RCP 77 [1, 3, 4, 2, 14, 7, 8, 10, 29, 15, 5, 20, 11, 12, 9, 16, 22, 13, 41, 6, 27, 17, 19, 45, 35, 18, 31, 46, 37, 36, 28, 21, 43, 33, 58, 47, 26, 42, 25, 24, 52, 48, 34, 54, 23, 40, 49, 44, 39, 51, 38, 30, 55, 60, 53, 56, 50, 32, 57, 59, 61, 62]
J601_10.RCP 80 [1, 2, 4, 6, 7, 3, 5, 9, 16, 40, 15, 8, 10, 31, 13, 39, 17, 12, 29, 18, 20, 11, 27, 33, 22, 50, 14, 41, 32, 30, 24, 21, 52, 42, 19, 34, 35, 49, 44, 23, 25, 37, 38, 43, 28, 46, 55, 57, 26, 48, 51, 45, 56, 53, 54, 58, 36, 47, 60, 59, 61, 62]
J601_2.RCP 72 [1, 2, 3, 5, 6, 11, 23, 13, 7, 8, 9, 14, 15, 4, 28, 10, 16, 19, 29, 12, 21, 18, 20, 49, 34, 36, 27, 30, 26, 48, 17, 25, 32, 46, 31, 33, 37, 38, 24, 40, 47, 39, 35, 43, 50, 44, 56, 51, 42, 53, 52, 45, 54, 59, 22, 60, 41, 55, 57, 58, 61, 62]
J601_3.RCP 70 [1, 3, 2, 7, 9, 11, 18, 10, 4, 27, 5, 26, 34, 13, 19, 17, 37, 12, 8, 15, 21, 25, 16, 40, 22, 29, 20, 23, 41, 6, 45, 35, 33, 28, 36, 30, 39, 38, 44, 42, 43, 46, 51, 50, 24, 56, 49, 32, 52, 53, 54, 58, 55, 31, 14, 57, 59, 47, 61, 48, 60, 62]
J601_4.RCP 91 [1, 2, 3, 4, 8, 6, 7, 13, 10, 18, 12, 11, 32, 9, 20, 14, 5, 15, 30, 22, 28, 29, 16, 42, 35, 17, 21, 39, 33, 36, 34, 43, 38, 44, 24, 25, 37, 23, 40, 49, 46, 19, 27, 47, 31, 55, 54, 50, 52, 26, 58, 53, 41, 56, 45, 48, 57, 51, 60, 61, 59, 62]
J601_5.RCP 73 [1, 2, 4, 3, 20, 5, 12, 10, 9, 24, 7, 42, 34, 21, 8, 6, 11, 14, 33, 39, 18, 28, 15, 17, 13, 31, 26, 23, 46, 22, 25, 16, 19, 38, 53, 30, 44, 43, 49, 32, 54, 51, 27, 36, 35, 29, 48, 40, 45, 52, 37, 55, 58, 41, 61, 59, 47, 57, 50, 56, 60, 62]
J601_6.RCP 66 [1, 2, 3, 16, 33, 5, 44, 4, 22, 50, 24, 39, 23, 43, 6, 32, 7, 18, 13, 19, 10, 9, 26, 12, 15, 14, 35, 40, 8, 20, 29, 27, 17, 11, 21, 31, 46, 28, 30, 51, 48, 37, 42, 47, 36, 38, 56, 45, 41, 54, 49, 25, 53, 34, 52, 59, 58, 60, 55, 57, 61, 62]
J601_7.RCP 75 [1, 4, 3, 7, 14, 2, 19, 11, 17, 32, 41, 5, 8, 13, 12, 6, 18, 29, 26, 20, 15, 16, 28, 22, 10, 47, 45, 31, 50, 34, 39, 38, 33, 21, 24, 55, 30, 42, 48, 37, 23, 56, 49, 35, 36, 9, 51, 57, 25, 52, 27, 40, 59, 54, 44, 53, 43, 46, 58, 61, 60, 62]
J601_8.RCP 76 [1, 4, 3, 7, 8, 16, 6, 20, 5, 9, 12, 29, 24, 10, 17, 22, 35, 23, 15, 11, 13, 28, 25, 27, 38, 19, 18, 21, 26, 14, 31, 40, 42, 55, 37, 30, 43, 32, 46, 36, 33, 44, 45, 39, 54, 41, 51, 56, 47, 48, 34, 49, 2, 53, 58, 52, 57, 60, 50, 59, 61, 62]
J601_9.RCP 88 [1, 4, 2, 8, 26, 5, 3, 10, 6, 21, 12, 13, 25, 17, 7, 36, 22, 19, 14, 9, 30, 29, 15, 27, 33, 31, 18, 39, 32, 37, 16, 45, 46, 20, 34, 28, 40, 41, 47, 50, 43, 48, 54, 35, 53, 55, 38, 24, 11, 51, 58, 42, 49, 52, 57, 56, 23, 44, 61, 60, 59, 62]
