J601_1.RCP 79 [1, 4, 2, 3, 5, 29, 7, 14, 8, 10, 15, 11, 6, 22, 9, 13, 25, 34, 12, 20, 45, 23, 24, 16, 41, 35, 19, 21, 27, 18, 31, 36, 44, 40, 28, 30, 33, 42, 26, 39, 37, 47, 17, 52, 49, 48, 38, 46, 53, 54, 32, 43, 51, 56, 58, 55, 50, 57, 60, 59, 61, 62]
J601_10.RCP 80 [1, 2, 4, 3, 6, 7, 16, 9, 15, 29, 5, 13, 10, 40, 8, 27, 12, 11, 33, 18, 31, 39, 20, 55, 23, 44, 22, 14, 47, 32, 24, 21, 17, 41, 26, 42, 52, 34, 60, 35, 19, 30, 49, 38, 25, 43, 50, 57, 51, 28, 37, 45, 36, 56, 53, 46, 54, 48, 58, 61, 59, 62]
J601_2.RCP 73 [1, 3, 2, 5, 6, 23, 13, 8, 29, 11, 16, 14, 12, 15, 9, 10, 18, 21, 19, 34, 4, 28, 20, 7, 36, 26, 17, 30, 27, 24, 49, 37, 32, 43, 25, 47, 46, 39, 44, 40, 33, 51, 42, 56, 38, 31, 50, 48, 41, 35, 52, 22, 53, 54, 45, 59, 55, 60, 57, 58, 61, 62]
J601_3.RCP 70 [1, 3, 2, 9, 7, 11, 4, 27, 18, 10, 17, 8, 13, 12, 26, 15, 34, 23, 16, 19, 21, 35, 25, 40, 5, 37, 20, 33, 6, 29, 38, 30, 44, 28, 39, 45, 22, 24, 42, 50, 49, 41, 32, 43, 51, 52, 36, 56, 57, 54, 53, 47, 46, 58, 55, 31, 59, 48, 14, 61, 60, 62]
J601_4.RCP 91 [1, 2, 4, 3, 5, 7, 8, 10, 9, 18, 12, 14, 6, 11, 30, 32, 13, 29, 22, 15, 17, 28, 19, 21, 36, 43, 39, 34, 38, 49, 44, 40, 23, 16, 33, 24, 20, 25, 46, 35, 37, 54, 47, 26, 45, 42, 50, 52, 53, 56, 41, 48, 57, 51, 31, 27, 55, 58, 60, 59, 61, 62]
J601_5.RCP 74 [1, 2, 4, 5, 12, 10, 9, 20, 24, 3, 7, 21, 42, 34, 6, 11, 23, 33, 14, 28, 22, 18, 13, 17, 46, 8, 25, 31, 39, 15, 26, 16, 44, 19, 30, 43, 53, 38, 52, 32, 49, 40, 27, 47, 29, 48, 51, 35, 54, 45, 36, 37, 55, 58, 41, 61, 50, 57, 59, 56, 60, 62]
J601_6.RCP 66 [1, 4, 3, 5, 23, 2, 24, 16, 6, 22, 7, 15, 14, 39, 17, 9, 13, 19, 10, 51, 40, 18, 43, 8, 33, 11, 26, 32, 44, 12, 31, 30, 27, 35, 50, 37, 47, 29, 20, 36, 38, 21, 48, 42, 46, 52, 28, 25, 34, 56, 41, 45, 49, 54, 53, 59, 58, 60, 55, 57, 61, 62]
J601_7.RCP 79 [1, 2, 3, 4, 19, 14, 5, 8, 16, 13, 7, 10, 11, 41, 15, 6, 17, 26, 12, 20, 24, 28, 18, 32, 39, 31, 29, 50, 47, 34, 23, 9, 33, 22, 21, 45, 42, 48, 30, 55, 37, 35, 25, 27, 49, 36, 44, 40, 52, 54, 38, 56, 57, 53, 51, 43, 58, 59, 46, 61, 60, 62]
J601_8.RCP 77 [1, 4, 3, 7, 6, 8, 13, 5, 10, 12, 9, 24, 16, 11, 29, 28, 35, 15, 23, 17, 25, 22, 38, 18, 44, 19, 26, 27, 31, 21, 20, 14, 40, 42, 55, 37, 30, 36, 43, 32, 46, 45, 54, 48, 33, 34, 47, 51, 56, 41, 39, 49, 53, 50, 52, 57, 58, 2, 60, 61, 59, 62]
J601_9.RCP 85 [1, 2, 4, 3, 21, 5, 6, 9, 8, 10, 12, 7, 18, 22, 14, 19, 30, 43, 33, 26, 15, 29, 39, 27, 16, 37, 31, 36, 45, 34, 41, 11, 25, 28, 20, 13, 32, 54, 40, 46, 17, 51, 47, 24, 50, 53, 38, 55, 42, 35, 48, 58, 44, 52, 57, 49, 56, 59, 23, 61, 60, 62]
